Species
Micromonospora sp. TSRI0369
Micromonospora tulbaghiae
Micromonospora viridifaciens
Micromonospora zamorensis
Micropruina glycogenica
Microterricola viridarii
Microtetraspora fusca
Microtetraspora glauca
Microtetraspora malaysiensis
Microtetraspora niveoalba
Microvirga flocculans
Microvirga lotononidis
Microvirga massiliensis
Microvirga ossetica
Microvirga sp. KLBC 81
Microvirga subterranea
Microvirga vignae
Mitsuaria sp. 7
Mizugakiibacter sediminis
Mobilicoccus massiliensis
Modestobacter caceresii
Modestobacter marinus
Modestobacter sp. DSM 44400
Moraxella osloensis
Motilibacter peucedani
Murinocardiopsis flavida
Mycobacterium asiaticum
Mycobacterium avium
Mycobacterium bohemicum
Mycobacterium canettii
Mycobacterium chimaera
Mycobacterium colombiense
Mycobacterium dioxanotrophicus
Mycobacterium gordonae
Mycobacterium haemophilum
Mycobacterium interjectum
Mycobacterium intermedium
Mycobacterium intracellulare
Mycobacterium kansasii
Mycobacterium leprae
Mycobacterium marinum
Mycobacterium marseillense
Mycobacterium montefiorense
Mycobacterium nebraskense
Mycobacterium paraffinicum
Mycobacterium paragordonae
Mycobacterium parascrofulaceum
Mycobacterium sherrisii
Mycobacterium shigaense
Mycobacterium shimoidei
Mycobacterium simiae
Mycobacterium sp. 141
Mycobacterium sp. 155
Mycobacterium sp. 360MFTsu5.1
Mycobacterium sp. 455mf
Mycobacterium sp. 88mf
Mycobacterium sp. AB308
Mycobacterium sp. AB57
Mycobacterium sp. AT1
Mycobacterium sp. djl-10
Mycobacterium sp. EPa45
Mycobacterium sp. JLS
Mycobacterium sp. JS623
Mycobacterium sp. M26
Mycobacterium sp. MS1601
Mycobacterium sp. QGD 101
Mycobacterium sp. QIA-37
Mycobacterium sp. Root135
Mycobacterium sp. Root265
Mycobacterium sp. Soil538
Mycobacterium sp. UM_NYF
Mycobacterium sp. UM_WWY
Mycobacterium sp. UNC267MFSha1.1M11
Mycobacterium sp. UNC280MFTsu5.1
Mycobacterium sp. URHB0044
Mycobacterium sp. URHD0025
Mycobacterium sp. WY10
Mycobacterium sp. YC-RL4
Mycobacterium triplex
Mycobacterium tuberculosis
Mycobacteroides abscessus
Mycobacteroides chelonae
Mycobacteroides immunogenum
Mycobacteroides saopaulense
Mycolicibacter icosiumassiliensis
Mycolicibacter sinensis
Mycolicibacter terrae
Mycolicibacterium acapulense
Mycolicibacterium aurum
Mycolicibacterium austroafricanum
Mycolicibacterium chubuense
Mycolicibacterium farcinogenes
Mycolicibacterium fortuitum
Mycolicibacterium gilvum
Mycolicibacterium goodii
Mycolicibacterium hassiacum
Mycolicibacterium houstonense
Mycolicibacterium litorale
Mycolicibacterium neoaurum
Mycolicibacterium peregrinum
Mycolicibacterium phlei
Mycolicibacterium rhodesiae
Mycolicibacterium rutilum
Mycolicibacterium septicum
Mycolicibacterium setense
Mycolicibacterium smegmatis
Mycolicibacterium thermoresistibile
Mycolicibacterium tusciae
Mycolicibacterium vaccae
Mycolicibacterium vanbaalenii
Mycoplana dimorpha
Myxococcus fulvus
Myxococcus hansupus
Myxococcus stipitatus
Nakamurella lactea
Nakamurella multipartita
Nakamurella panacisegetis
Nannocystis exedens
Neisseria cinerea
Neisseria sp. HMSC064D07
Neisseria sp. HMSC065C04
Neisseria sp. KEM232
Neorhizobium galegae
Nevskia soli
Niastella koreensis
Niastella yeongjuensis
Nitriliruptor alkaliphilus
Nitrobacter hamburgensis
Nitrososphaera viennensis
Nitrospira cf. moscoviensis SBR1015
Nitrospira defluvii
Nitrospira japonica
Nitrospira moscoviensis
Nitrospirillum amazonense
Nocardia amikacinitolerans
Nocardia brasiliensis
Nocardia cyriacigeorgica
Nocardia farcinica
Nocardia mexicana
Nocardia neocaledoniensis
Nocardia nova
Nocardia pseudobrasiliensis
Nocardia puris
Nocardia seriolae
Nocardia sp. BMG111209
Nocardia sp. Root136
Nocardia tenerifensis
Nocardia terpenica
Nocardioides alkalitolerans
Nocardioides alpinus
Nocardioides dokdonensis
Nocardioides halotolerans
Nocardioides insulae
Nocardioides lianchengensis
Nocardioides psychrotolerans
Nocardioides sp. CF8
Nocardioides sp. Iso805N
Nocardioides sp. J54
Nocardioides sp. JS614
Nocardioides sp. Leaf307
Nocardioides sp. Root122
Nocardioides sp. Root140
Nocardioides sp. Root151
Nocardioides sp. Root190
Nocardioides sp. Root224
Nocardioides sp. Soil777
Nocardioides sp. Soil796
Nocardioides sp. Soil805
Nocardioides sp. URHA0020
Nocardioides sp. URHA0032
Nocardioides sp. XL1
Nocardioides szechwanensis
Nocardioides terrae
Nocardiopsis alba
Nocardiopsis flavescens
Nocardiopsis gilva
Nocardiopsis sinuspersici
Nocardiopsis sp. CNR-923
Nocardiopsis sp. CNT312
Nocardiopsis sp. TSRI0078
Nonomuraea candida
Nonomuraea coxensis
Nonomuraea indica
Nonomuraea jiangxiensis
Nonomuraea maritima
Nonomuraea pusilla
Nonomuraea solani
Nonomuraea sp. ATCC 55076
Nonomuraea sp. NBRC 110462
Nonomuraea sp. SBT364
Nonomuraea wenchangensis
Noviherbaspirillum denitrificans
Noviherbaspirillum humi
Oceanicella actignis
Oceanicella sp. SM1341
Oceanicola granulosus
Oceanithermus profundus
Ochrobactrum anthropi
Oleiagrimonas soli
Oligotropha carboxidovorans
Olsenella sp. SIT9
Olsenella urininfantis
Opitutaceae bacterium TAV1
Opitutaceae bacterium TAV5
Opitutaceae bacterium TSB47
Opitutus sp. GAS368
Opitutus terrae
Ornithinimicrobium pekingense
Ornithinimicrobium sp. CNJ-824
Ottowia oryzae
Paenarthrobacter nicotinovorans
Paenibacillus pasadenensis
Paludisphaera borealis
Pandoraea norimbergensis
Pandoraea pnomenusa
Pandoraea sputorum
Pannonibacter phragmitetus
Paraburkholderia aromaticivorans
Paraburkholderia caballeronis
Paraburkholderia caribensis
Paraburkholderia eburnea
Paraburkholderia fungorum
Paraburkholderia hospita
Paraburkholderia kururiensis
Paraburkholderia mimosarum
Paraburkholderia nodosa
Paraburkholderia silvatlantica
Paraburkholderia tropica
Paraburkholderia unamae
Paracoccus contaminans
Paracoccus sp. 228
Paracoccus yeei
Paraeggerthella hongkongensis
Paraoerskovia marina
Parvibaculum lavamentivorans
Parvimonas sp. KA00067
Pasteurella multocida
Patulibacter minatonensis
Pediococcus acidilactici
Pelodictyon luteolum
Pelodictyon phaeoclathratiforme
Pelomonas sp. Root1237
Pelomonas sp. Root1444
Pelomonas sp. Root662
Peptococcus niger
Phenylobacterium sp. Root700
Phenylobacterium zucineum
Phreatobacter cathodiphilus
Phycicoccus cremeus
Phycicoccus dokdonensis
Phycicoccus sp. Root563
Phycicoccus sp. Soil748
Phycicoccus sp. Soil803
Phycisphaera mikurensis
Phyllobacterium myrsinacearum
Phyllobacterium zundukense
Pimelobacter simplex
Pirellula staleyi
Piscinibacter caeni
Planctomyces sp. SH-PL14
Planctomyces sp. SH-PL62
Planobispora rosea
Plantactinospora sp. BB1
Plantactinospora sp. BC1
Plasticicumulans acidivorans
Pleomorphomonas koreensis
Polaromonas sp. JS666
Polymorphum gilvum
Prauserella marina
Prauserella sp. PE36
Prevotella shahii
Promicromonospora kroppenstedtii
Promicromonosporaceae bacterium W15
Propionibacteriaceae bacterium P6A17
Propionibacterium freudenreichii
Propionicicella superfundia
Propionivibrio dicarboxylicus
Prosthecochloris sp. GSB1
Prosthecochloris sp. HL-130-GSB
Prosthecomicrobium hirschii
Pseudacidovorax intermedius
Pseudaminobacter salicylatoxidans
Pseudolabrys sp. Root1462
Pseudolabrys taiwanensis
Pseudomonas aeruginosa
Pseudomonas alcaligenes
Pseudomonas azotoformans
Pseudomonas fluorescens
Pseudomonas guariconensis
Pseudomonas mendocina
Pseudomonas nitroreducens
Pseudomonas putida
Pseudomonas sp. NC02
Pseudomonas stutzeri
Pseudomonas syringae
Pseudomonas yamanorum
Pseudonocardia acaciae
Pseudonocardia ammonioxydans
Pseudonocardia asaccharolytica
Pseudonocardia autotrophica
Pseudonocardia dioxanivorans
