Shewanella sp. MR-7
Shinella sp. HZN7
Sideroxydans lithotrophicus
Singulisphaera acidiphila
Sinomonas atrocyanea
Sinorhizobium americanum
Sinorhizobium fredii
Sinorhizobium medicae
Sinorhizobium meliloti
Sinorhizobium sp. CCBAU 05631
Sinorhizobium sp. RAC02
Sneathia amnii
Sorangium cellulosum
Sphaerobacter thermophilus
Sphingobacteriaceae bacterium GW460-11-11-14-LB5
Sphingobium cloacae
Sphingobium hydrophobicum
Sphingobium sp. SYK-6
Sphingobium sp. YBL2
Sphingobium yanoikuyae
Sphingomonas hengshuiensis
Sphingomonas indica
Sphingomonas koreensis
Sphingomonas melonis
Sphingomonas panacis
Sphingomonas sanxanigenens
Sphingomonas sp. JJ-A5
Sphingomonas sp. KC8
Sphingomonas sp. LK11
Sphingomonas sp. LM7
Sphingomonas sp. MM-1
Sphingomonas sp. NIC1
Sphingomonas taxi
Sphingomonas wittichii
Sphingopyxis alaskensis
Sphingopyxis fribergensis
Sphingopyxis granuli
Sphingopyxis macrogoltabida
Sphingopyxis sp. 113P3
Sphingopyxis sp. QXT-31
Sphingopyxis terrae
Spiribacter curvatus
Spirometra erinaceieuropaei
Stackebrandtia nassauensis
Staphylococcus capitis
Staphylococcus epidermidis
Staphylococcus saprophyticus
Stappia sp. ES.058
Starkeya novella
Stenotrophomonas acidaminiphila
Stenotrophomonas maltophilia
Stenotrophomonas rhizophila
Stenotrophomonas sp. LM091
Steroidobacter denitrificans
Stigmatella aurantiaca
Streptococcus infantarius
Streptococcus lutetiensis
Streptomyces albireticuli
Streptomyces alboflavus
Streptomyces albulus
Streptomyces albus
Streptomyces ambofaciens
Streptomyces ansochromogenes
Streptomyces autolyticus
Streptomyces avermitilis
Streptomyces bingchenggensis
Streptomyces cattleya
Streptomyces clavuligerus
Streptomyces coelicolor
Streptomyces collinus
Streptomyces cyaneogriseus
Streptomyces davaonensis
Streptomyces ficellus
Streptomyces formicae
Streptomyces fulvissimus
Streptomyces gilvosporeus
Streptomyces glaucescens
Streptomyces globisporus
Streptomyces griseochromogenes
Streptomyces griseus
Streptomyces hygroscopicus
Streptomyces incarnatus
Streptomyces iranensis
Streptomyces katrae
Streptomyces laurentii
Streptomyces leeuwenhoekii
Streptomyces lincolnensis
Streptomyces lividans
Streptomyces lydicus
Streptomyces malaysiensis
Streptomyces niveus
Streptomyces nodosus
Streptomyces noursei
Streptomyces pactum
Streptomyces parvulus
Streptomyces pluripotens
Streptomyces pratensis
Streptomyces pristinaespiralis
Streptomyces puniciscabiei
Streptomyces qaidamensis
Streptomyces rapamycinicus
Streptomyces reticuli
Streptomyces rubrolavendulae
Streptomyces sampsonii
Streptomyces scabiei
Streptomyces silaceus
Streptomyces sp.
Streptomyces sp. 11-1-2
Streptomyces sp. 2323.1
Streptomyces sp. 3211
Streptomyces sp. 3214.6
Streptomyces sp. 4F
Streptomyces sp. 769
Streptomyces sp. CCM_MD2014
Streptomyces sp. CdTB01
Streptomyces sp. CFMR 7
Streptomyces sp. CNQ-509
Streptomyces sp. fd1-xmd
Streptomyces sp. Mg1
Streptomyces sp. MK498-98F14
Streptomyces sp. MOE7
Streptomyces sp. PAMC 26508
Streptomyces sp. PBH53
Streptomyces sp. RTd22
Streptomyces sp. S8
Streptomyces sp. SAT1
Streptomyces sp. SCSIO 03032
Streptomyces sp. Sge12
Streptomyces sp. SirexAA-E
Streptomyces sp. TLI_053
Streptomyces sp. TN58
Streptomyces sp. Tue 6075
Streptomyces venezuelae
Streptomyces vietnamensis
Streptomyces violaceoruber
Streptomyces violaceusniger
Streptomyces xiamenensis
Streptomyces xinghaiensis
Streptosporangium roseum
Sulfitobacter sp. AM1-D1
Sulfuricaulis limicola
Sulfurifustis variabilis
Sulfuritalea hydrogenivorans
Symbiobacterium thermophilum
Syntrophobacter fumaroxidans
Terriglobus roseus
Terriglobus saanensis
Tessaracoccus aquimaris
Tessaracoccus flavescens
Tessaracoccus flavus
Tessaracoccus sp. T2.5-30
Thauera chlorobenzoica
Thauera humireducens
Thauera sp. MZ1T
Thermaerobacter marianensis
Thermobacillus composti
Thermobifida fusca
Thermobispora bispora
Thermomicrobium roseum
Thermomonospora curvata
Thermotogales
Thermus brockianus
Thermus scotoductus
Thermus thermophilus
Thioalkalivibrio
Thioalkalivibrio nitratireducens
Thioalkalivibrio paradoxus
Thioalkalivibrio sp. K90mix
Thioalkalivibrio sulfidiphilus
Thioalkalivibrio versutus
Thiobacillus denitrificans
Thioclava nitratireducens
Thiocystis violascens
Thioflavicoccus mobilis
Thiohalobacter thiocyanaticus
Thiomonas intermedia
Tistrella mobilis
Treponema succinifaciens
Truepera radiovictrix
Trueperella pyogenes
Tsukamurella paurometabola
Tumebacillus avium
Tyzzerella
unclassified Acidobacteria
unclassified Actinobacteria (class)
unclassified Comamonadaceae
uncultured Acidobacteria bacterium
uncultured Acidobacteria bacterium A12
uncultured Acidobacteria bacterium Rifle_16ft_4_minimus_38982
uncultured actinobacterium Rifle_16ft_4_minimus_15811
uncultured archaeon
uncultured bacterium
uncultured bacterium 293
uncultured bacterium 5G12
uncultured bacterium A1Q1_fos_25
uncultured bacterium contig00021
uncultured bacterium contig00027
uncultured bacterium contig00038
uncultured bacterium contig00043
uncultured bacterium contig00057
uncultured bacterium contig00071
uncultured bacterium contig00095
uncultured bacterium contig00129
uncultured bacterium contig00142
uncultured bacterium contig00159
uncultured bacterium contig00173
uncultured bacterium contig00179
uncultured bacterium contig00182
uncultured bacterium ctg7180000000754
uncultured bacterium ctg7180000000784
uncultured bacterium ctg7180000000927
uncultured bacterium ctg7180000001435
uncultured bacterium ctg7180000001448
uncultured bacterium lac160
uncultured bacterium Rifle_16ft_4_minimus_37862
uncultured organism
uncultured organism CA37
uncultured soil bacterium
