Library_ID	Observed_species	Shannon_index	Pileou_evenness	Site_code	Time_period	Dataset
MID064.A0101	56	2.11443666282107	0.525279981793319	MID	Industrial	Sub10M
MID066.A0101	96	3.52565887786446	0.77068450759656	MID	Industrial	Sub10M
MID067.A0101	67	3.01227002011064	0.713891342446291	MID	Industrial	Sub10M
MID068.B0101	55	2.88199607565413	0.71596131147681	MID	Industrial	Sub10M
MID070.A0101	94	3.35884716935701	0.737579703911689	MID	Industrial	Sub10M
MID071.A0101	96	3.45777584123399	0.755845747956999	MID	Industrial	Sub10M
MID072.A0101	46	2.68625052369199	0.701619777228369	MID	Industrial	Sub10M
MID073.A0101	106	3.48933214824728	0.74672800392636	MID	Industrial	Sub10M
MID074.A0101	65	3.11581138501415	0.746411672794328	MID	Industrial	Sub10M
MID075.A0101	33	2.65513071180958	0.759366500753679	MID	Industrial	Sub10M
MID077.A0101	114	3.72434633437072	0.784910349319458	MID	Industrial	Sub10M
MID079.A0101	127	3.73925623282355	0.77065806052967	MID	Industrial	Sub10M
MID080.A0101	93	3.79131340768233	0.83448545370152	MID	Industrial	Sub10M
MID081.A0101	81	3.17913408715795	0.723443138209417	MID	Industrial	Sub10M
MID082.A0101	96	3.63069628006788	0.795446825650761	MID	Industrial	Sub10M
MID083.A0101	96	3.53877801374325	0.773552259448085	MID	Industrial	Sub10M
MID084.A0101	67	2.76660416066457	0.657980121520823	MID	Industrial	Sub10M
MID085.A0101	93	3.56913476509304	0.785582916393939	MID	Industrial	Sub10M
MID086.A0101	78	3.25295218205733	0.746653566134476	MID	Industrial	Sub10M
MID087.A0101	115	3.70475227379001	0.779358784592191	MID	Industrial	Sub10M
MID088.A0101	76	2.53955032697478	0.586401915664213	MID	Industrial	Sub10M
MID089.A0101	79	3.0159194918188	0.688247640476345	MID	Industrial	Sub10M
MID090.A0101	78	3.18753491586688	0.729505196879092	MID	Industrial	Sub10M
MID091.A0101	100	2.45248700612727	0.531402592235193	MID	Industrial	Sub10M
MID092.A0101	48	2.62360262656317	0.677723171483639	MID	Industrial	Sub10M
MID093.A0101	81	3.08617117929558	0.702288516870011	MID	Industrial	Sub10M
